"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,         198,      -4.786832692,      -7.300162397,      -7.842834687,      -10.16621265,      -5.779715124
          0,           0,         199,      -4.792683732,       -7.29888157,      -7.834706645,      -10.16682617,      -5.780982046
          0,           0,         200,      -4.800125786,      -7.297424475,      -7.825734777,      -10.16756087,      -5.782208348
          0,           0,         201,      -4.808307004,      -7.295708719,      -7.815997294,      -10.16758722,      -5.783395213
          0,           0,         202,      -4.815953997,      -7.293642589,      -7.805615894,        -10.165863,       -5.78454377
          0,           0,         203,      -4.821347279,      -7.291130684,      -7.794744542,      -10.16122284,      -5.785655104
          0,           0,         204,      -4.822446052,      -7.288081226,       -7.78355715,      -10.15255229,      -5.786730271
          0,           0,         205,       -4.81724674,      -7.284414524,      -7.772235893,       -10.1390234,      -5.787770317
          0,           0,         206,      -4.804338879,      -7.280071811,       -7.76096138,      -10.12031289,      -5.788776295
          0,           0,         207,      -4.783410236,      -7.275023364,       -7.74990528,      -10.09670137,      -5.789749282
          0,           0,         208,      -4.755372517,      -7.269274835,      -7.739225514,       -10.0690006,      -5.790690404
          0,           0,         209,       -4.72201533,       -7.26287082,      -7.729063727,      -10.03834958,      -5.791600845
          0,           0,         210,       -4.68543513,      -7.255895148,      -7.719544574,      -10.00597865,      -5.792481872
          0,           0,         211,      -4.647562359,      -7.248467861,      -7.710776311,      -9.973027259,       -5.79333485
          0,           0,         212,      -4.609928065,       -7.24073942,      -7.702852194,      -9.940446482,      -5.794161251
          0,           0,         213,      -4.573629343,      -7.232883047,      -7.695852319,      -9.908973475,       -5.79496268
          0,           0,         214,      -4.539395929,      -7.225086265,      -7.689845578,      -9.879149156,      -5.795740877
          0,           0,         215,       -4.50768407,      -7.217542656,      -7.684891545,      -9.851353992,      -5.796497737
          0,           0,         216,      -4.478761675,      -7.210444567,      -7.681042142,      -9.825846423,      -5.797235317
          0,           0,         217,      -4.452773875,      -7.203977247,      -7.678342995,      -9.802796682,      -5.797955845
          0,           0,         218,      -4.429789533,      -7.198314526,      -7.676834438,      -9.782313794,       -5.79866173
          0,           0,         219,      -4.409832795,      -7.193615951,      -7.676552121,      -9.764465977,      -5.799355565
          0,           0,         220,      -4.392903999,      -7.190025138,      -7.677527195,      -9.749295572,       -5.80004013
          0,           0,         221,      -4.378993369,       -7.18766899,       -7.67978604,      -9.736829756,      -5.800718391
          0,           0,         222,      -4.368089985,      -7.186657464,      -7.683349492,      -9.727088142,      -5.801393497
          0,           0,         223,       -4.36018772,      -7.187083531,      -7.688231496,      -9.720088137,      -5.802068771
          0,           0,         224,      -4.355289247,      -7.189023025,      -7.694437102,      -9.715848661,      -5.802747695
          0,           0,         225,      -4.353408859,      -7.192534109,      -7.701959672,      -9.714392657,      -5.803433898
          0,           0,         226,      -4.354574522,      -7.197656063,      -7.710777169,      -9.715748625,      -5.804131128
          0,           0,         227,      -4.358829415,      -7.204407128,      -7.720847346,      -9.719951248,      -5.804843228
          0,           0,         228,      -4.366233025,      -7.212781119,       -7.73210172,      -9.727041012,      -5.805574107
          0,           0,         229,      -4.376861649,      -7.222742502,      -7.744438223,      -9.737062483,      -5.806327698
          0,           0,         230,      -4.390807939,      -7.234219671,      -7.757712658,       -9.75006062,      -5.807107927
          0,           0,         231,      -4.408178656,      -7.247096233,      -7.771729373,      -9.766073999,       -5.80791867
          0,           0,         232,      -4.429089089,      -7.261200353,      -7.786232153,      -9.785123143,       -5.80876371
          0,           0,         233,      -4.453651293,      -7.276292701,      -7.800897179,       -9.80719102,      -5.809646698
          0,           0,         234,      -4.481950973,      -7.292054396,      -7.815330935,       -9.83219122,       -5.81057111
          0,           0,         235,      -4.514003806,      -7.308077707,      -7.829076986,      -9.859917269,      -5.811540215
          0,           0,         236,      -4.549675317,      -7.323863984,      -7.841635845,      -9.889964812,      -5.812557034
          0,           0,         237,      -4.588538945,      -7.338834942,      -7.852500863,      -9.921619388,      -5.813624316
          0,           0,         238,      -4.629638851,       -7.35236375,      -7.861209321,      -9.953712826,      -5.814744513
          0,           0,         239,      -4.671137307,      -7.363829703,       -7.86740187,      -9.984483319,      -5.815919763
