"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         163,      -8.302940667,      -8.297129172,      -8.536463104,      -8.250390977
          0,           0,         164,      -8.306395209,      -8.300653937,       -8.53868047,       -8.25384039
          0,           0,         165,      -8.309543066,        -8.3038785,      -8.540659319,      -8.256981377
          0,           0,         166,      -8.312256454,      -8.306645204,       -8.54239619,      -8.259690641
          0,           0,         167,      -8.314706514,      -8.309158132,      -8.543952326,      -8.262137585
          0,           0,         168,      -8.316802424,      -8.311293235,      -8.545312738,      -8.264231894
          0,           0,         169,      -8.318716473,      -8.313256405,      -8.546532317,      -8.266145514
          0,           0,         170,      -8.320357549,      -8.314922691,      -8.547596505,      -8.267785182
          0,           0,         171,      -8.321887083,      -8.316504222,      -8.548564751,      -8.269316008
          0,           0,         172,      -8.323597889,      -8.318600424,      -8.549396569,      -8.271039717
          0,           0,         173,      -8.324858019,      -8.319888356,      -8.550140429,      -8.272276279
          0,           0,         174,      -8.325862734,      -8.320876254,        -8.5508004,      -8.273272028
          0,           0,         175,      -8.326800883,      -8.321813525,      -8.551418941,      -8.274217839
          0,           0,         176,      -8.327608366,      -8.322566036,      -8.551965591,      -8.275053924
          0,           0,         177,      -8.328402952,       -8.32329725,      -8.552477486,      -8.275876353
          0,           0,         178,      -8.329105943,      -8.323944963,      -8.552957902,      -8.276582429
          0,           0,         179,      -8.329798486,      -8.324613019,      -8.553444805,      -8.277277912
          0,           0,         180,      -8.330430587,      -8.325203738,      -8.553871682,      -8.277911408
          0,           0,         181,       -8.33105026,      -8.325800291,      -8.554294382,      -8.278538303
          0,           0,         182,      -8.331610164,      -8.326321763,      -8.554660158,      -8.279099241
          0,           0,         183,      -8.332153499,      -8.326843825,      -8.555032689,      -8.279649061
          0,           0,         184,      -8.332644376,      -8.327298247,      -8.555354958,        -8.2801407
          0,           0,         185,      -8.333125603,      -8.327758613,      -8.555682566,       -8.28062809
          0,           0,         186,      -8.333564505,      -8.328162723,      -8.555965694,      -8.281067335
          0,           0,         187,      -8.333995604,      -8.328575291,      -8.556258915,      -8.281502007
          0,           0,         188,      -8.334402415,      -8.328940464,       -8.55648496,      -8.281909011
          0,           0,         189,      -8.334803478,      -8.329312181,      -8.556725721,      -8.282315723
          0,           0,         190,      -8.335173098,      -8.329650987,      -8.556941907,      -8.282685479
          0,           0,         191,      -8.335536598,      -8.329996616,      -8.557185292,      -8.283053959
          0,           0,         192,      -8.335874623,      -8.330310931,      -8.557392922,      -8.283391474
          0,           0,         193,      -8.336206946,      -8.330628365,       -8.55761635,      -8.283727883
          0,           0,         194,      -8.336515722,      -8.330915462,      -8.557804913,      -8.284035649
          0,           0,         195,      -8.336818691,      -8.331204195,      -8.558007555,       -8.28434222
          0,           0,         196,      -8.337100788,      -8.331466438,      -8.558177531,       -8.28462298
          0,           0,         197,      -8.337376169,      -8.331728634,      -8.558360656,       -8.28490158
          0,           0,         198,      -8.337633164,      -8.331967765,      -8.558513054,      -8.285156948
          0,           0,         199,      -8.337882785,      -8.332205624,      -8.558677378,      -8.285409464
