"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.530454841976531e+02, -9.519520783571594e-01, -2.300469817408556e-01, 5.691930210629573e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.344932790714353e-02
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.507310551479794e+02, -9.313351826073195e-01, -2.241246671399802e-01, 5.577202846116106e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.986288842361582e-02
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.488257994200829e+02, -9.142553789815770e-01, -2.181336090113767e-01, 5.485393397290386e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.787718460288581e-02
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.474664764706542e+02, -9.013346973641354e-01, -2.130402226559245e-01, 5.411990528052306e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.688724595090936e-02
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.459893875143850e+02, -8.898279158819093e-01, -2.069363998198345e-01, 5.353132590527152e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.766129089903712e-02
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.454183789275299e+02, -8.859371299582234e-01, -2.019954748110579e-01, 5.320389049223106e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.798477238897945e-02
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.453093225188649e+02, -8.879051836779724e-01, -1.975442450514537e-01, 5.322690995323957e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.781561258858777e-02
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.458268320804448e+02, -8.936014781426026e-01, -1.952886927301012e-01, 5.337518156231108e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.597855513115060e-02
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.463912133807326e+02, -8.990508789559087e-01, -1.932615487571208e-01, 5.364482652070304e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.318889174267613e-02
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.473340710720342e+02, -9.054519746375727e-01, -1.909858827312927e-01, 5.399030733246315e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.004729047707628e-02
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.486440415417223e+02, -9.125277091836637e-01, -1.887981873614369e-01, 5.441650823915158e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.775415592036179e-02
31, 7.657799720760000e-01, -2.951033727360171e-02, 1.498548785824915e+02, -9.191752963432285e-01, -1.856806091473041e-01, 5.488840466561551e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.674769842409514e-02
32, 7.522799968720000e-01, -3.096181144522562e-02, 1.515891345196988e+02, -9.274158129478468e-01, -1.833304008299054e-01, 5.538590866155658e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.503148593535803e-02
33, 7.385200262070000e-01, -3.241453277608040e-02, 1.530912174730194e+02, -9.344729301514065e-01, -1.800864457211524e-01, 5.594371659784718e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.454267889559048e-02
34, 7.245299816130000e-01, -3.386376679305321e-02, 1.550241681043479e+02, -9.430126423143069e-01, -1.774337002393407e-01, 5.649427723191325e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.329868215371764e-02
35, 7.103199958800001e-01, -3.530689307158652e-02, 1.567808629145117e+02, -9.507360969171726e-01, -1.739761023540446e-01, 5.712284580912729e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.293269261032533e-02
36, 6.958900094030001e-01, -3.674225211597043e-02, 1.589332066031916e+02, -9.598505481100175e-01, -1.710700161269706e-01, 5.774162793345194e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.188595562820683e-02
37, 6.812700033190000e-01, -3.816515293304169e-02, 1.609351527730512e+02, -9.682891848579086e-01, -1.673765119357380e-01, 5.844058761615478e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.149919984488969e-02
38, 6.664699912070000e-01, -3.957289370556494e-02, 1.633603406408125e+02, -9.782510240932194e-01, -1.642034085608741e-01, 5.914418925317762e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.050761812774820e-02
39, 6.514999866490000e-01, -4.096270419333766e-02, 1.656406785758488e+02, -9.875686395409508e-01, -1.602426481519335e-01, 5.992769409203768e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.029933334697548e-02
