"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
3197, 1.272729039192200e-01, 3.625515122048128e-02, 2.336093081668731e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.219256625499392e+04, 0.000000000000000e+00, 2.087702650199756e+04, 3.113213066560138e+02, 0.000000000000000e+00, -1.214307686485548e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.899000970621675e-05, 4.905519252498563e-03, 6.635816008624121e-04, -9.326872741761520e+02, 2.386900834401623e+00, 0.000000000000000e+00
3223, 1.344466507434840e-01, 3.720953140353703e-02, 2.343854051838581e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.236931356353244e+04, 0.000000000000000e+00, 2.094772542541297e+04, 3.113412413543792e+02, 0.000000000000000e+00, -1.209440335810107e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.899093600515463e-05, 4.901497066858294e-03, 6.377659030303597e-04, -9.259334631882595e+02, 2.390666331226264e+00, 0.000000000000000e+00
3249, 1.419069468975070e-01, 3.815928244972110e-02, 2.348847621638991e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.248230945741240e+04, 0.000000000000000e+00, 2.099292378296495e+04, 3.113496851733784e+02, 0.000000000000000e+00, -1.206328601634654e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.899132835246184e-05, 4.895433849820580e-03, 6.102788147016050e-04, -9.194092453072493e+02, 2.392634530602893e+00, 0.000000000000000e+00
3275, 1.496536135673520e-01, 3.910527497439577e-02, 2.354536393383563e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.261430042939557e+04, 0.000000000000000e+00, 2.104572017175822e+04, 3.113785768256874e+02, 0.000000000000000e+00, -1.202693772046885e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.899267078148205e-05, 4.871967788659361e-03, 5.838526533439447e-04, -9.113414069323004e+02, 2.390700762422905e+00, 0.000000000000000e+00
3301, 1.576814949512480e-01, 4.004969144583898e-02, 2.359421435477670e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.273351287124922e+04, 0.000000000000000e+00, 2.109340514849968e+04, 3.114379406532659e+02, 0.000000000000000e+00, -1.199410843643758e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.899542888505894e-05, 4.828504416200388e-03, 5.536164008050448e-04, -8.973445210381026e+02, 2.382495781972209e+00, 0.000000000000000e+00
3327, 1.660248339176180e-01, 4.098233157533653e-02, 2.370125164153853e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.298419953497338e+04, 0.000000000000000e+00, 2.119367981398935e+04, 3.115052947449443e+02, 0.000000000000000e+00, -1.192507316160985e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.899855791122673e-05, 4.772696499182809e-03, 5.277998365713045e-04, -8.712896627598620e+02, 2.374598761003400e+00, 0.000000000000000e+00
3353, 1.746245622634890e-01, 4.192338028399339e-02, 2.387263060086512e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.337816204462582e+04, 0.000000000000000e+00, 2.135126481785033e+04, 3.115685939915485e+02, 0.000000000000000e+00, -1.181658190913699e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.900149826065082e-05, 4.723597782660448e-03, 5.094427751868870e-04, -8.430408839509250e+02, 2.370827478016119e+00, 0.000000000000000e+00
3379, 1.835020482540130e-01, 4.286725933246965e-02, 2.405128902247572e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.379249680468578e+04, 0.000000000000000e+00, 2.151699872187430e+04, 3.116547009727597e+02, 0.000000000000000e+00, -1.170248045034182e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.900549759336478e-05, 4.662823773598092e-03, 4.891527013154290e-04, -8.149815140252213e+02, 2.364529803931334e+00, 0.000000000000000e+00
3405, 1.926559209823610e-01, 4.381495677368724e-02, 2.425962787142018e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.427406140212484e+04, 0.000000000000000e+00, 2.170962456084993e+04, 3.117443014575741e+02, 0.000000000000000e+00, -1.156986492210578e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.900965860847302e-05, 4.603768816244524e-03, 4.730977036398213e-04, -7.887779930959019e+02, 2.359155090598362e+00, 0.000000000000000e+00
3431, 2.020680904388430e-01, 4.477516398057668e-02, 2.445561718211170e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.472829965567204e+04, 0.000000000000000e+00, 2.189131986226881e+04, 3.118341427877542e+02, 0.000000000000000e+00, -1.144477465122722e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.901383021751461e-05, 4.551168146946060e-03, 4.568015213038933e-04, -7.685120965506974e+02, 2.355365880399953e+00, 0.000000000000000e+00
3457, 2.117756903171540e-01, 4.573401127510653e-02, 2.464214381684051e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.516224311360977e+04, 0.000000000000000e+00, 2.206489724544390e+04, 3.119275734270038e+02, 0.000000000000000e+00, -1.132527325680367e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.901816786186722e-05, 4.502172409680241e-03, 4.416983748542555e-04, -7.529310939414682e+02, 2.351076796191631e+00, 0.000000000000000e+00
3483, 2.217475175857540e-01, 4.670586991493042e-02, 2.479970655111299e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.552932702301927e+04, 0.000000000000000e+00, 2.221173080920770e+04, 3.120083413963342e+02, 0.000000000000000e+00, -1.122418395993223e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.902191710927645e-05, 4.465592590926108e-03, 4.275245519082351e-04, -7.444816583910408e+02, 2.349343225175329e+00, 0.000000000000000e+00
3509, 2.320270836353300e-01, 4.767282850430547e-02, 2.490228722173049e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.576624421562404e+04, 0.000000000000000e+00, 2.230649768624961e+04, 3.120487843175295e+02, 0.000000000000000e+00, -1.115894058695057e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.902379428932731e-05, 4.454631777882787e-03, 4.126342550402216e-04, -7.421382773830787e+02, 2.350782956726820e+00, 0.000000000000000e+00
3535, 2.426079511642460e-01, 4.863817990118212e-02, 2.495287320115134e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.588040404097268e+04, 0.000000000000000e+00, 2.235216161638907e+04, 3.120536843104327e+02, 0.000000000000000e+00, -1.112750271626311e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.902402171701331e-05, 4.459076534213416e-03, 3.959738596977974e-04, -7.443179270086314e+02, 2.354768873271321e+00, 0.000000000000000e+00
3561, 2.535301446914670e-01, 4.958233824615114e-02, 2.495956051460392e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.589281863945818e+04, 0.000000000000000e+00, 2.235712745578327e+04, 3.120393854701024e+02, 0.000000000000000e+00, -1.112408392562786e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.902335804742456e-05, 4.469525429150645e-03, 3.754771957107103e-04, -7.474016762136408e+02, 2.358075529563678e+00, 0.000000000000000e+00
3587, 2.647941112518310e-01, 5.050200130802405e-02, 2.497085545449687e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.592176412135756e+04, 0.000000000000000e+00, 2.236870564854302e+04, 3.120597665215678e+02, 0.000000000000000e+00, -1.111611278241562e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.902430401359016e-05, 4.448806925834960e-03, 3.515998828988739e-04, -7.418900416743513e+02, 2.352230162236664e+00, 0.000000000000000e+00
3613, 2.764054536819460e-01, 5.139022878768515e-02, 2.503545234594314e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.607318585325796e+04, 0.000000000000000e+00, 2.242927434130318e+04, 3.120973819472287e+02, 0.000000000000000e+00, -1.107441355230365e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.902604981618223e-05, 4.407973576019559e-03, 3.298777352358398e-04, -7.247472638080520e+02, 2.344816895006345e+00, 0.000000000000000e+00
3639, 2.883291840553280e-01, 5.226328603016134e-02, 2.516891784290123e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.637906518415610e+04, 0.000000000000000e+00, 2.255162607366244e+04, 3.121358587629007e+02, 0.000000000000000e+00, -1.099017906069181e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.902783549034841e-05, 4.368407314146607e-03, 3.141164455071131e-04, -7.024227224918726e+02, 2.340269142608198e+00, 0.000000000000000e+00
