"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
3379, 1.835020482540130e-01, 4.288147274413694e-02, 1.165038193175440e-03, 4.133126697584982e-06, -1.659595449811693e-05, 7.492323384086458e-08, 3.555745832038425e-05, -1.796146653525185e-01, 1.736695723756450e+00, -1.745957160684634e+00
3405, 1.926559209823610e-01, 4.382971366155407e-02, 9.710542022078827e-04, 3.382779707184984e-06, -1.012974000400528e-05, 7.336124225125760e-08, 3.812427634956237e-05, -1.759496933208437e-01, 1.737127314036054e+00, -1.746013328294080e+00
3431, 2.020680904388430e-01, 4.479052728651763e-02, 1.391528866930356e-03, 3.325087298454353e-06, -1.062931119806142e-05, 7.601970151398630e-08, 4.229186871573900e-05, -1.772943097241676e-01, 1.781122602727771e+00, -1.789924153943972e+00
3457, 2.117756903171540e-01, 4.575004120298366e-02, 1.892249258328639e-03, 4.008247694921243e-06, -1.705892642216075e-05, 8.630214173965978e-08, 4.467804388532737e-05, -1.775657249048968e-01, 1.836438033423580e+00, -1.845000499309664e+00
3483, 2.217475175857540e-01, 4.672261758406722e-02, 2.026585870156427e-03, 4.048026372797301e-06, -1.758389631112871e-05, 8.868077394415093e-08, 4.683992239416841e-05, -1.798270586097556e-01, 1.884183886776755e+00, -1.892745679641531e+00
3509, 2.320270836353300e-01, 4.769033932196742e-02, 1.927301921994013e-03, 4.091548940154629e-06, -1.719646732863498e-05, 9.167549814819904e-08, 4.946134547186957e-05, -1.790730698125872e-01, 1.943068966268858e+00, -1.951302913186722e+00
3535, 2.426079511642460e-01, 4.865648807623120e-02, 1.945822788350349e-03, 3.506261945173544e-06, -1.464856369734786e-05, 9.670039673569575e-08, 5.683579155190614e-05, -1.786177798745451e-01, 1.996605430254149e+00, -2.004578810623185e+00
3561, 2.535301446914670e-01, 4.960146821877092e-02, 5.903882670363785e-04, 3.082449079094833e-06, -8.915080254388067e-06, 9.075574571440893e-08, 5.562194012400244e-05, -1.803253766601521e-01, 2.143079902727653e+00, -2.150653085545221e+00
3587, 2.647941112518310e-01, 5.052196263499447e-02, -4.876125150991097e-04, 3.793585771996855e-06, -1.253564113030940e-05, 9.632408347374949e-08, 4.945013173548454e-05, -1.754148488603699e-01, 2.202147307350464e+00, -2.209122374766362e+00
3613, 2.764054536819460e-01, 5.141101445411957e-02, -4.763699439364697e-04, 3.735928187487586e-06, -1.220531784321347e-05, 1.002626192468715e-07, 4.968991262162693e-05, -1.646991788036666e-01, 2.200375273573880e+00, -2.206530568451468e+00
3639, 2.883291840553280e-01, 5.228486797926826e-02, -6.043037886346160e-04, 3.623070336227074e-06, -1.104031470778764e-05, 1.016050334694414e-07, 5.108408860069435e-05, -1.605095071982457e-01, 2.238403037065224e+00, -2.244150421192260e+00
3665, 3.005529642105100e-01, 5.314891929135840e-02, -1.215297402169560e-03, 3.593997724069208e-06, -7.310424301057979e-06, 1.017621148421446e-07, 5.093740469964689e-05, -1.572364536778117e-01, 2.280692291938637e+00, -2.286105732242452e+00
3691, 3.130726814270020e-01, 5.400272658027839e-02, -5.574217718096702e-04, 3.146705387688534e-06, -3.059556877744058e-06, 1.030728377508729e-07, 5.839899024889470e-05, -1.523532416439683e-01, 2.272723504718313e+00, -2.277824320713618e+00
3717, 3.258830904960630e-01, 5.484631557918490e-02, 1.021422689431002e-03, 3.447516890173983e-06, -1.179733326446441e-05, 1.184203531530592e-07, 6.871618326817049e-05, -1.496049313243264e-01, 2.313104829248856e+00, -2.317937564576907e+00
3743, 3.389919400215150e-01, 5.566769538924231e-02, 1.040496288907963e-03, 3.435529522584388e-06, -1.142459817003065e-05, 1.207165629006877e-07, 7.312373925399924e-05, -1.476090632296702e-01, 2.397815290806284e+00, -2.402354199459047e+00
3769, 3.523894548416140e-01, 5.646750825670312e-02, 7.285522647427316e-04, 3.505298002879705e-06, -1.046747118167988e-05, 1.242366358056939e-07, 7.677512309701986e-05, -1.432506501475037e-01, 2.438479116049947e+00, -2.442682607326003e+00
3795, 3.660713136196140e-01, 5.723979102021839e-02, 7.850484037157561e-04, 2.885023128295450e-06, -7.417040189027451e-06, 1.321339479844378e-07, 8.702502221238803e-05, -1.370233852874014e-01, 2.476942859616899e+00, -2.480728576491769e+00
3821, 3.800389170646670e-01, 5.796734436930742e-02, -1.255674637110737e-03, 2.489109427298771e-06, 3.136709747669551e-06, 1.197195088159590e-07, 8.723105173612587e-05, -1.324339241517000e-01, 2.613255430955244e+00, -2.616607803717778e+00
3847, 3.942807912826540e-01, 5.864227060021805e-02, -2.799917819786358e-03, 2.816823157718630e-06, 5.910311689646945e-06, 1.223220742841149e-07, 8.452212237680257e-05, -1.230538632341153e-01, 2.663131339751464e+00, -2.665972115377019e+00
3873, 4.087766110897060e-01, 5.927510072824541e-02, -1.814264119580689e-03, 2.404245564991296e-06, 8.290844079139255e-06, 1.278581016174207e-07, 9.342740212381196e-05, -1.116489685280277e-01, 2.644084053792234e+00, -2.646439310982831e+00
3899, 4.235162138938900e-01, 5.985214557430933e-02, -4.781453431717425e-04, 2.773822848359971e-06, -2.255640066971470e-06, 1.392896410629707e-07, 1.001992527625032e-04, -9.931173819345337e-02, 2.690597209945679e+00, -2.692429417229707e+00
3925, 4.384851455688480e-01, 6.037136065611234e-02, -3.265916723185910e-04, 2.792177118640788e-06, -1.412791250293589e-06, 1.423582705100512e-07, 1.032552210545766e-04, -8.918991459110570e-02, 2.715215307428292e+00, -2.716678607687878e+00
3951, 4.536674916744230e-01, 6.081456568671717e-02, -1.403710272500394e-04, 2.652930999671378e-06, 8.245802714138048e-07, 1.441348684898267e-07, 1.077861192404122e-04, -6.904209045991284e-02, 2.688922105706932e+00, -2.689808323145043e+00
3977, 4.690417945384980e-01, 6.115262326243536e-02, -6.748701689686680e-05, 2.528919293783770e-06, 3.237789532716285e-06, 1.458927732187685e-07, 1.127317989837198e-04, -4.960726889515094e-02, 2.681447633918103e+00, -2.681906361440209e+00
4003, 4.845884144306180e-01, 6.139526261951790e-02, -2.443459410900967e-04, 2.435871660638223e-06, 5.823217398793911e-06, 1.476265557090169e-07, 1.174206794141469e-04, -2.929777703802982e-02, 2.685828967441965e+00, -2.685988082368871e+00
4029, 5.002762079238890e-01, 6.151547541666116e-02, -7.642126073575716e-04, 2.411084706170253e-06, 8.755732887440936e-06, 1.490488574603208e-07, 1.212845633889192e-04, -5.641457967048355e-03, 2.681442135911266e+00, -2.681446108205057e+00
