"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,         143,      -4.232697066,      -6.797510212,        -7.2100492,      -9.605449265,      -4.772249787
          0,           0,         144,      -4.228824862,      -6.794870433,      -7.212514606,      -9.600437621,      -4.773133098
          0,           0,         145,      -4.227243004,      -6.792545776,      -7.216439361,       -9.59797373,      -4.774032394
          0,           0,         146,      -4.227980501,      -6.790554974,      -7.221835906,       -9.59815897,      -4.774945649
          0,           0,         147,      -4.230992001,      -6.788898338,       -7.22868743,      -9.601015843,       -4.77587064
          0,           0,         148,      -4.236158261,      -6.787558966,      -7.236945389,      -9.606492446,      -4.776804947
          0,           0,         149,       -4.24328229,      -6.786504606,        -7.2465257,      -9.614459436,      -4.777745965
          0,           0,         150,      -4.252082857,      -6.785690138,       -7.25730372,      -9.624700429,      -4.778690919
          0,           0,         151,      -4.262188114,      -6.785060623,      -7.269108377,      -9.636897413,      -4.779636879
          0,           0,         152,      -4.273133404,      -6.784554801,      -7.281716145,      -9.650614148,      -4.780580786
          0,           0,         153,      -4.284368913,      -6.784108898,      -7.294846156,      -9.665283005,      -4.781519478
          0,           0,         154,      -4.295283542,      -6.783660482,      -7.308158337,      -9.680204241,      -4.782449712
          0,           0,         155,      -4.305249908,      -6.783152127,      -7.321257168,      -9.694569827,      -4.783368194
          0,           0,         156,      -4.313690159,      -6.782534555,       -7.33370392,      -9.707523835,      -4.784271606
          0,           0,         157,      -4.320153319,       -6.78176899,      -7.345039718,      -9.718263414,      -4.785156628
          0,           0,         158,       -4.32438553,      -6.780828501,      -7.354819794,      -9.726166546,      -4.786019961
          0,           0,         159,      -4.326371143,      -6.779698205,       -7.36265587,      -9.730911336,      -4.786858351
          0,           0,         160,        -4.3263297,      -6.778374357,      -7.368259503,      -9.732542041,      -4.787668602
          0,           0,         161,        -4.3246695,      -6.776862455,      -7.371476349,      -9.731452953,      -4.788447596
          0,           0,         162,      -4.321913575,      -6.775174623,      -7.372301848,      -9.728296676,      -4.789192301
          0,           0,         163,       -4.31862022,      -6.773326584,      -7.370873495,      -9.723854114,      -4.789899787
          0,           0,         164,      -4.315316045,      -6.771334577,      -7.367441839,      -9.718909989,      -4.790567231
          0,           0,         165,      -4.312450062,      -6.769212537,      -7.362328366,      -9.714162071,      -4.791191928
          0,           0,         166,      -4.310368707,      -6.766969803,      -7.355880708,      -9.710170678,      -4.791771298
          0,           0,         167,      -4.309306893,      -6.764609534,      -7.348433982,        -9.7073406,      -4.792302889
          0,           0,         168,      -4.309389182,      -6.762127951,      -7.340283207,      -9.705922908,      -4.792784392
          0,           0,         169,      -4.310636347,       -6.75951439,      -7.331667827,      -9.706025879,      -4.793213642
          0,           0,         170,      -4.312974438,      -6.756752127,      -7.322766783,      -9.707628201,       -4.79358863
          0,           0,         171,      -4.316245322,      -6.753819836,      -7.313701417,      -9.710591438,      -4.793907511
          0,           0,         172,      -4.320218943,        -6.7506935,      -7.304543445,      -9.714671642,      -4.794168616
          0,           0,         173,      -4.324608324,      -6.747348573,        -7.2953257,      -9.719532002,      -4.794370457
