"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
1949, 1.017087697982790e-02, -1.029164342873724e-02, 5.684242341149898e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.299367297153657e+05, 0.000000000000000e+00, 5.197469188614628e+04, 3.185295172860870e+02, 0.000000000000000e+00, 9.266477241477797e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.932306677834282e-05, 1.907839385838437e-03, -9.907168225288449e-04, -1.351885600240409e+02, 2.188354902897367e+00, 0.000000000000000e+00
1975, 8.062899112701419e-03, -9.129806393157167e-03, 5.770633420014191e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.319793971038392e+05, 0.000000000000000e+00, 5.279175884153567e+04, 3.186933417705679e+02, 0.000000000000000e+00, 9.828996613070972e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.933059281928866e-05, 1.687448381274719e-03, -9.720744273686902e-04, -1.069307227592095e+02, 2.055157821977688e+00, 0.000000000000000e+00
2001, 6.177186965942380e-03, -7.991031465482287e-03, 5.845843532614726e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.337628812234742e+05, 0.000000000000000e+00, 5.350515248938968e+04, 3.188443784975097e+02, 0.000000000000000e+00, 1.032014087467944e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.933752969838746e-05, 1.407657992231374e-03, -8.783598933013937e-04, -6.568717225600975e+01, 1.864495603953180e+00, 0.000000000000000e+00
2027, 4.468053579330440e-03, -6.886670520272696e-03, 5.914319023267246e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.353832385312072e+05, 0.000000000000000e+00, 5.415329541248285e+04, 3.189704773574101e+02, 0.000000000000000e+00, 1.076636250608439e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.934331997444231e-05, 1.032607991077167e-03, -7.168765122538616e-04, -1.344475107052983e+01, 1.584413482947067e+00, 0.000000000000000e+00
2053, 3.018766641616820e-03, -5.798333591846509e-03, 5.985549600949648e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.370487439334137e+05, 0.000000000000000e+00, 5.481949757336547e+04, 3.190519197325831e+02, 0.000000000000000e+00, 1.122501723250777e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.934705908732347e-05, 4.808595650037641e-04, -4.130960001090554e-04, 4.894500877552039e+01, 1.089773292002488e+00, 0.000000000000000e+00
2079, 1.912891864776610e-03, -4.691586631475099e-03, 6.016448825065516e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.377563681804728e+05, 0.000000000000000e+00, 5.510254727218911e+04, 3.190522370932776e+02, 0.000000000000000e+00, 1.141988613237171e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.934707365679253e-05, -1.867953349355181e-04, 2.213545380727572e-04, 8.440471007317099e+01, 7.134502606784645e-01, 0.000000000000000e+00
2105, 1.121968030929570e-03, -3.550606257378218e-03, 5.968389623963736e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.366045208710724e+05, 0.000000000000000e+00, 5.464180834842895e+04, 3.189321072379235e+02, 0.000000000000000e+00, 1.110268499218049e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.934155819440866e-05, -7.779503518511089e-04, 1.298383489688670e-03, 1.645886779935003e+01, 1.579947821868113e+00, 0.000000000000000e+00
2131, 5.391836166381840e-04, -2.398895195848059e-03, 5.822990582306755e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.331613418356247e+05, 0.000000000000000e+00, 5.326453673424988e+04, 3.186562285223446e+02, 0.000000000000000e+00, 1.015448612327396e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.932888801713860e-05, -1.099984985319394e-03, 2.718671070713279e-03, -2.379034301040742e+02, 2.154400444863583e+00, 0.000000000000000e+00
2157, 1.753866672515870e-04, -1.211080351249211e-03, 5.573535070092046e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.272744394714594e+05, 0.000000000000000e+00, 5.090977578858376e+04, 3.182004514778357e+02, 0.000000000000000e+00, 8.533323207956952e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.930794381602642e-05, -1.011865732765753e-03, 4.501916917115653e-03, -7.912800952322398e+02, 2.617816797941927e+00, 0.000000000000000e+00
2183, 0.000000000000000e+00, 0.000000000000000e+00, 5.159397222492319e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.175539907383885e+05, 0.000000000000000e+00, 4.702159629535540e+04, 3.174890477742491e+02, 0.000000000000000e+00, 5.856460227823415e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.927522318186178e-05, -1.823761733835693e-04, 5.990589982888431e-03, -1.604169965335237e+03, 3.097345928319687e+00, 0.000000000000000e+00
