"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          68,       -4.43142846,       -2.13710214,      -2.308356626,      0.9903752754,      -5.984329514,       14525.13454,     0.01263272776,      0.8231411579,                 0,                 0,                 0,      0.0926417269,    -0.02713624519,      0.8227907242,                 0,       65.15941559,    0.006851544281
          0,           0,          69,      -4.436611929,      -2.140489684,      -2.316238175,      0.9850946223,      -5.985358787,       14525.13454,     0.01263018789,      0.8231280276,                 0,                 0,                 0,     0.09263835609,    -0.02713814795,      0.8227774865,                 0,       65.17147921,    0.006851544281
          0,           0,          70,      -4.441916198,      -2.143616265,       -2.32292241,      0.9797986633,      -5.986069398,       14525.13454,     0.01262784569,      0.8231157892,                 0,                 0,                 0,     0.09263547509,    -0.02713989636,      0.8227651494,                 0,       65.18259802,    0.006851544281
          0,           0,          71,      -4.447348232,      -2.146529068,      -2.328332294,       0.974456454,      -5.986419443,       14525.13454,     0.01262568248,      0.8231043144,                 0,                 0,                 0,     0.09263302129,    -0.02714150286,      0.8227535834,                 0,       65.19285718,    0.006851544281
          0,           0,          72,      -4.452908842,      -2.149317013,      -2.332570868,      0.9690349519,       -5.98641164,       14525.13454,     0.01262367201,      0.8230934485,                 0,                 0,                 0,     0.09263091466,     -0.0271429862,      0.8227426331,                 0,       65.20237913,    0.006851544281
          0,           0,          73,        -4.4585835,      -2.152091645,       -2.33588984,      0.9635165616,      -5.986081869,       14525.13454,     0.01262178346,      0.8230830234,                 0,                 0,                 0,     0.09262906531,    -0.02714436906,       0.822732129,                 0,       65.21130916,    0.006851544281
          0,           0,          74,      -4.464346251,      -2.154971509,      -2.338632689,      0.9578990838,      -5.985487436,       14525.13454,     0.01261998376,      0.8230728669,                 0,                 0,                 0,     0.09262738021,    -0.02714567615,      0.8227218975,                 0,       65.21980398,    0.006851544281
          0,           0,          75,      -4.470158055,      -2.158063262,      -2.341166582,      0.9522024365,      -5.984695814,       14525.13454,     0.01261823959,      0.8230628117,                 0,                 0,                 0,     0.09262576914,    -0.02714693266,      0.8227117697,                 0,       65.22802219,    0.006851544281
          0,           0,          76,      -4.475975071,      -2.161447185,      -2.343828865,      0.9464624895,      -5.983775402,       14525.13454,     0.01261651957,      0.8230527046,                 0,                 0,                 0,     0.09262415041,    -0.02714816254,      0.8227015913,                 0,       65.23611364,    0.006851544281
          0,           0,          77,      -4.481753226,      -2.165165222,      -2.346890598,      0.9407240245,      -5.982790672,       14525.13454,     0.01261479556,      0.8230424123,                 0,                 0,                 0,      0.0926224546,    -0.02714938747,      0.8226912278,                 0,       65.24421331,    0.006851544281
          0,           0,          78,      -4.487452101,      -2.169213971,      -2.350519483,      0.9350329543,       -5.98179731,       14525.13454,     0.01261304363,       0.823031827,                 0,                 0,                 0,     0.09262062737,    -0.02715062613,      0.8226805702,                 0,       65.25243639,    0.006851544281
          0,           0,          79,      -4.493042763,      -2.173543535,      -2.354773328,      0.9294286119,      -5.980840482,       14525.13454,     0.01261124472,      0.8230208686,                 0,                 0,                 0,     0.09261863079,    -0.02715189369,      0.8226695378,                 0,       65.26087525,    0.006851544281
          0,           0,          80,      -4.498513325,      -2.178060897,      -2.359600262,      0.9239336322,      -5.979955959,       14525.13454,     0.01260938493,       0.823009487,                 0,                 0,                 0,     0.09261644359,    -0.02715320162,      0.8226580796,                 0,       65.26959811,    0.006851544281
          0,           0,          81,      -4.503868652,      -2.182637462,      -2.364850901,      0.9185509305,      -5.979170378,       14525.13454,     0.01260745547,       0.822997661,                 0,                 0,                 0,     0.09261406017,     -0.0271545577,      0.8226461742,                 0,       65.27864907,    0.006851544281
          0,           0,          82,      -4.509126016,      -2.187119498,      -2.370296716,      0.9132662548,       -5.97850194,       14525.13454,      0.0126054524,      0.8229853975,                 0,                 0,                 0,     0.09261148871,    -0.02715596615,      0.8226338283,                 0,       65.28804928,    0.006851544281
          0,           0,          83,      -4.514309025,      -2.191341229,      -2.375655009,      0.9080540871,      -5.977960786,       14525.13454,     0.01260337624,      0.8229727282,                 0,                 0,                 0,     0.09260874872,    -0.02715742801,      0.8226210735,                 0,       65.29779898,    0.006851544281
          0,           0,          84,      -4.519440161,      -2.195139425,      -2.380618868,       0.902886789,      -5.977549995,       14525.13454,     0.01260123143,      0.8229597063,                 0,                 0,                 0,     0.09260586796,    -0.02715894142,      0.8226079632,                 0,       65.30787972,    0.006851544281
          0,           0,          85,      -4.524533937,      -2.198367946,      -2.384890232,      0.8977441881,      -5.977267367,       14525.13454,     0.01259902578,      0.8229464023,                 0,                 0,                 0,     0.09260287936,    -0.02716050196,      0.8225945682,                 0,       65.31825685,    0.006851544281
          0,           0,          86,      -4.529591426,      -2.200910723,      -2.388213068,      0.8926222277,      -5.977104003,       14525.13454,     0.01259676999,      0.8229328989,                 0,                 0,                 0,     0.09259981782,    -0.02716210296,      0.8225809716,                 0,       65.32888187,    0.006851544281
          0,           0,          87,      -4.534596699,      -2.202691753,      -2.390402644,      0.8875393559,      -5.977047179,       14525.13454,      0.0125944771,      0.8229192871,                 0,                 0,                 0,     0.09259671741,    -0.02716373579,       0.822567265,                 0,       65.33969457,    0.006851544281
          0,           0,          88,       -4.53951841,      -2.203681433,      -2.391365714,      0.8825359181,      -5.977081525,       14525.13454,     0.01259216209,      0.8229056614,                 0,                 0,                 0,     0.09259360889,    -0.02716539003,      0.8225535433,                 0,        65.3506249,    0.006851544281
          0,           0,          89,      -4.544310973,       -2.20389819,      -2.391108859,      0.8776734018,      -5.977190205,       14525.13454,     0.01258984152,      0.8228921153,                 0,                 0,                 0,     0.09259051772,    -0.02716705368,       0.822539901,                 0,       65.36159443,    0.006851544281
          0,           0,          90,      -4.548918648,      -2.203405976,      -2.389736264,      0.8730290509,      -5.977356517,       14525.13454,     0.01258753322,      0.8228787379,                 0,                 0,                 0,     0.09258746275,    -0.02716871322,      0.8225264278,                 0,       65.37251769,    0.006851544281
          0,           0,          91,      -4.553282233,       -2.20230899,      -2.387434856,      0.8686856131,       -5.97756534,       14525.13454,     0.01258525603,      0.8228656107,                 0,                 0,                 0,     0.09258445544,    -0.02717035376,      0.8225132059,                 0,       65.38330318,    0.006851544281
          0,           0,          92,      -4.557345665,      -2.200744091,      -2.384452469,      0.8647202109,       -5.97780448,       14525.13454,     0.01258302957,      0.8228528045,                 0,                 0,                 0,     0.09258149969,    -0.02717195913,      0.8225003071,                 0,       65.39385445,    0.006851544281
          0,           0,          93,      -4.561058653,      -2.198871892,      -2.381072949,      0.8611982111,      -5.978065518,       14525.13454,     0.01258087398,      0.8228403775,                 0,                 0,                 0,     0.09257859224,    -0.02717351203,      0.8224877904,                 0,       65.40407119,    0.006851544281
          0,           0,          94,      -4.564382397,      -2.196868236,      -2.377592031,      0.8581626662,      -5.978344174,       14525.13454,     0.01257880964,      0.8228283738,                 0,                 0,                 0,     0.09257572344,    -0.02717499424,      0.8224757011,                 0,       65.41385054,    0.006851544281
          0,           0,          95,      -4.567291255,      -2.194916091,      -2.374297406,      0.8556304577,       -5.97864032,       14525.13454,     0.01257685688,      0.8228168226,                 0,                 0,                 0,     0.09257287841,    -0.02717638684,       0.822464069,                 0,       65.42308863,    0.006851544281
          0,           0,          96,      -4.569772968,      -2.193198677,      -2.371452934,       0.853591761,      -5.978958277,       14525.13454,     0.01257503559,      0.8228057375,                 0,                 0,                 0,     0.09257003846,    -0.02717767065,      0.8224529089,                 0,        65.4316826,    0.006851544281
          0,           0,          97,       -4.57182734,      -2.191893885,      -2.369288328,      0.8520128777,      -5.979305441,       14525.13454,     0.01257336478,      0.8227951168,                 0,                 0,                 0,     0.09256718253,    -0.02717882658,      0.8224422199,                 0,       65.43953281,    0.006851544281
          0,           0,          98,      -4.573464173,       -2.19116999,      -2.367992433,      0.8508414309,      -5.979691811,       14525.13454,     0.01257186208,      0.8227849438,                 0,                 0,                 0,     0.09256428875,    -0.02717983621,      0.8224319862,                 0,       65.44654552,    0.006851544281
          0,           0,          99,      -4.574700986,      -2.191182437,      -2.367709421,       0.850012881,      -5.980129131,       14525.13454,     0.01257054324,      0.8227751878,                 0,                 0,                 0,     0.09256133581,    -0.02718068234,      0.8224221779,                 0,       65.45263575,    0.006851544281
          0,           0,         100,      -4.575561101,        -2.1920714,      -2.368537387,      0.8494570974,      -5.980630099,       14525.13454,     0.01256942151,      0.8227658055,                 0,                 0,                 0,     0.09255830426,    -0.02718134963,      0.8224127524,                 0,       65.45773047,    0.006851544281
          0,           0,         101,       -4.57607233,       -2.19395987,      -2.370528323,      0.8491041434,      -5.981207631,       14525.13454,     0.01265712108,      0.8227553838,                 0,                 0,                 0,     0.09255517753,    -0.02718182522,      0.8224036555,                 0,       65.00335889,    0.006850594062
          0,           0,         102,      -2.403000973,     0.05758268928,      0.2376123474,       3.113129297,      -5.963371339,       14525.13454,     0.01265641986,      0.8227465763,                 0,                 0,                 0,     0.09255194294,    -0.02718209931,      0.8223948245,                 0,       65.00626444,    0.006850594062
