"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
46, 5.433599948880000e-01, -4.989683951066199e-02, 1.183854711968959e+00, 3.516414029578150e+02, 2.560562654448618e+01, 2.767732675536984e+05, 8.970887122000651e+04, 2.639777545556943e+02, 9.143604694345085e-01, -2.558979411193096e-01, 2.970308766799377e+02, 2.162902785756498e+01
47, 5.276100039480000e-01, -5.101897737545535e-02, 1.177385647622486e+00, 3.520894309569020e+02, 2.452243508353372e+01, 2.754569190347494e+05, 8.902261206664571e+04, 2.633976772749070e+02, 9.213618921973785e-01, -2.710159126695015e-01, 2.990434201978613e+02, 2.082786989382135e+01
48, 5.118399858470000e-01, -5.209138375948307e-02, 1.170858408440943e+00, 3.525029372340630e+02, 2.338239885490866e+01, 2.741267651149897e+05, 8.833214926148490e+04, 2.628117413395505e+02, 9.284114455284748e-01, -2.862264887234125e-01, 3.010636766092310e+02, 1.997030442480531e+01
49, 4.960500001910000e-01, -5.311153541819326e-02, 1.164330226501819e+00, 3.528938816328832e+02, 2.217768660458212e+01, 2.727957383151801e+05, 8.764226754094964e+04, 2.622211867861401e+02, 9.354943313244980e-01, -3.014242637519464e-01, 3.030874519964478e+02, 1.904759156791287e+01
50, 4.802699983120000e-01, -5.407492053959814e-02, 1.157656897555876e+00, 3.532624771064737e+02, 2.090508849742464e+01, 2.714339192323578e+05, 8.693824539306579e+04, 2.616142237279528e+02, 9.427515030629351e-01, -3.169335458508292e-01, 3.051530015951233e+02, 1.805810386614625e+01
51, 4.645099937920000e-01, -5.497835513414191e-02, 1.150400792056172e+00, 3.536176810134559e+02, 1.957481338704291e+01, 2.699514225743717e+05, 8.617449265869775e+04, 2.609515666224806e+02, 9.506494058397210e-01, -3.337586651268514e-01, 3.073865069072287e+02, 1.701564665307281e+01
52, 4.487800002100000e-01, -5.581859897363720e-02, 1.142327119084037e+00, 3.539344105669251e+02, 1.820597426576899e+01, 2.682978227590999e+05, 8.532875132410611e+04, 2.602167500477426e+02, 9.593777329283851e-01, -3.523899553217609e-01, 3.098363022762900e+02, 1.593761888483157e+01
53, 4.331099987030000e-01, -5.659141825851464e-02, 1.134673587990992e+00, 3.541757972713135e+02, 1.678082200783911e+01, 2.667266714858532e+05, 8.453062315208718e+04, 2.595215760954467e+02, 9.676076034056711e-01, -3.699723495803993e-01, 3.121389278994350e+02, 1.478911837328528e+01
54, 4.174999892710000e-01, -5.729416860686566e-02, 1.130076736047442e+00, 3.543133184471187e+02, 1.524629927537956e+01, 2.657807099297265e+05, 8.405355175331603e+04, 2.591066028953860e+02, 9.725079536665512e-01, -3.804820117083458e-01, 3.135303180263364e+02, 1.349138407070040e+01
55, 4.019699990750000e-01, -5.792324246601335e-02, 1.130114979236471e+00, 3.543817578719639e+02, 1.352797083842660e+01, 2.657885093548166e+05, 8.405759128599385e+04, 2.591102866976358e+02, 9.724644931770539e-01, -3.803930226729350e-01, 3.135802678338018e+02, 1.197043759880643e+01
